cct_type,cct_element,f_bus,t_bus,f_bus_x,f_bus_y,t_bus_x,t_bus_y,linestring,slijnem_b,slijnem_f,slijnem_b_p,slijnem_f_p,slijnem_b_m,slijnem_f_m,slijnem_b_r,slijnem_f_r
branch,xf_3491_to_3490_1_2winding_transformer,1640,1056,-1.902,5.612,-0.844,6.072,"LINESTRING(-1.902 5.612, -0.844 6.072)",12.530732609812164,12.547006064417577,13.539854159362342,12.813281193902363,10.600897516647528,10.653139008425955,13.892690940089784,12.999332614612538
branch,xf_3205_to_3206_3_2winding_transformer,1769,350,-2.024,6.97,-2.066,7.068,"LINESTRING(-2.024 6.97, -2.066 7.068)",36.44017140089979,27.91808218075451,27.858696600923803,14.468137211933726,33.07250810657199,31.920351459078905,30.582188378401902,23.01886013384296
branch,xf_5095_to_5178_2_2winding_transformer,525,435,2.222,-12.196,2.136,-12.276,"LINESTRING(2.222 -14.196, 2.136 -14.276)",3.540829727594796e-5,3.9768176237024814e-5,3.515645141316612e-5,3.9793425161943076e-5,3.550885140226253e-5,3.959443048112033e-5,3.454602561218406e-5,4.0192227490367355e-5
branch,xf_4299_to_4461_1_2winding_transformer,1300,940,-3.768,-4.724,-4.024,-4.922,"LINESTRING(-3.768 -4.724, -4.024 -4.922)",12.525989902851641,12.527654873943748,15.063221811360433,15.067803798937748,10.663546789031571,10.652466567922284,15.06304442256518,15.071385783876645
branch,line_3334_to_3359_2_cp,871,1686,-2.782,6.956,-3.038,7.012,"LINESTRING(-2.782 6.956, -3.038 7.012)",3.7074288950045386,3.7074288950045386,4.448914674005447,4.448914674005447,3.151314560753858,3.151314560753858,4.448914674005447,4.448914674005447
branch,line_3096_to_3199_2_cp,845,778,-2.026,13.194,-1.922,13.326,"LINESTRING(-2.026 13.194, -1.922 13.326)",24.33999342205958,67.4147036166889,84.30585748845986,83.68776946994407,8.058283121460603,4.294200590706042,84.09592895951735,83.62249372881121
branch,xf_1402_to_1613_2_2winding_transformer,1554,1608,3.972,3.886,4.288,3.886,"LINESTRING(3.972 3.886, 4.288 3.886)",19.698291258837237,18.754479489088226,19.097038094264725,17.74067692665685,19.685303470309236,15.45188376816416,17.62461812816233,13.437224275812563
branch,xf_1310_to_1508_1_2winding_transformer,149,473,0.862,-1.682,0.746,-1.804,"LINESTRING(0.862 -1.682, 0.746 -1.804)",14.119836410229656,14.119836410229656,16.943803692275583,16.943803692275583,12.001860948695207,12.001860948695207,16.943803692275583,16.943803692275583
branch,line_5084_to_5223_2_cp,157,1461,2.562,-12.608,2.582,-12.37,"LINESTRING(2.562 -14.608, 2.582 -14.37)",7.196897517737899,10.23841024141348,12.181622296085743,11.681703457609375,5.120617916705998,4.257093072597948,12.285755031955938,12.120318048252587
branch,xf_3636_to_3543_5_2winding_transformer,797,139,-1.222,8.14,-1.37,7.35,"LINESTRING(-1.222 8.14, -1.37 7.35)",8.787096025224312,7.974605527998531,11.32356923745285,11.407121413818587,6.685504172158413,7.534329463487971,11.354577787345104,10.925434911635906
branch,line_3106_to_3482_1_cp,495,1761,-2.042,10.704,-1.964,10.472,"LINESTRING(-2.042 10.704, -1.964 10.472)",9.603670732878683,11.880089631061114,14.210498771922822,21.611840978396728,5.576643940551362,7.249793145437137,14.697673937000918,22.93064976047488
branch,line_1206_to_1324_1_cp,1393,1615,1.734,-2.658,1.516,-2.836,"LINESTRING(1.734 -2.658, 1.516 -2.836)",0.0,2.972811516826978e-22,0.0,8.156088347295316e-29,0.0,1.361138265535715e-19,0.0,7.8396763882627e-27
branch,xf_4220_4394_4497_1_3winding_transformer_br1,931,1757,-1.796,-5.49,-1.796,-5.49,"LINESTRING(-1.796 -5.49, -1.796 -5.49)",7.771798804523446,8.38402350950124,9.508207479908974,10.70642173435725,7.2732738127228025,6.654623924115442,9.322092022992038,11.076631608191143
branch,xf_4358_to_4016_5_2winding_transformer,208,839,-5.992,-3.724,-6.128,-3.748,"LINESTRING(-5.992 -3.724, -6.128 -3.748)",20.853104741691357,20.862482139440992,25.15013606885259,25.172618652640743,17.638032867001865,17.65971426656169,25.142499573668935,25.18420522764395
